# generated from the tensat project
# ("Equality Saturation for Tensor Graph Superoptimization" by Yang, Phothilimthana, Wang, Willsey, Roy and Pienaar)
# network: bert
# node_limit: 50000
# iteration limit: 15
# multipatern iteration limit: 2
## root: 191
2081,0,Split([10; 2080]),10,2080
38439,0.7639679908752441,Matmul([0; 8741; 6654]),0,8741,6654
7059,0.00002499999936844688,Concat([10; 192; 398; 583]),10,192,398,583
30221,0.5625920295715332,Matmul([0; 97; 30223]),0,97,30223
30221,0.5420160293579102,Matmul([0; 473; 3894]),0,473,3894
7934,0,Split([10; 4534]),10,4534
7196,0,Split([10; 7195]),10,7195
6886,0,Split([10; 6885]),10,6885
5716,0,Split([10; 5715]),10,5715
19030,0.8015679717063904,Matmul([0; 28; 19032]),0,28,19032
19030,0.7773119807243347,Matmul([0; 443; 11354]),0,443,11354
19030,0.7773119807243347,Matmul([0; 8729; 11356]),0,8729,11356
19030,0.7773119807243347,Matmul([0; 8807; 11358]),0,8807,11358
19030,0.7773119807243347,Matmul([0; 9023; 11360]),0,9023,11360
19030,0.7639679908752441,Matmul([0; 9059; 7094]),0,9059,7094
19030,0.7639679908752441,Matmul([0; 9107; 7099]),0,9107,7099
8047,0,Split([10; 5184]),10,5184
6664,0.00002499999936844688,Concat([10; 192; 358; 573]),10,192,358,573
5929,0.00003199999991920777,Concat([10; 192; 293; 308]),10,192,293,308
348,0.000045000000682193786,Concat([10; 192; 123; 134]),10,192,123,134
7280,0,Split([10; 1164]),10,1164
28721,0.5625920295715332,Matmul([0; 97; 28723]),0,97,28723
28721,0.5420160293579102,Matmul([0; 473; 3414]),0,473,3414
11320,0.7783359885215759,Matmul([0; 120; 6954]),0,120,6954
11320,0.7639679908752441,Matmul([0; 483; 6959]),0,483,6959
8331,0,Split([10; 6764]),10,6764
2630,0.05350400134921074,Matmul([0; 3; 10190]),0,3,10190
2630,0.05407999828457832,Matmul([0; 29; 10192]),0,29,10192
2630,0.05532800033688545,Matmul([0; 52; 2629]),0,52,2629
2630,0.05532800033688545,Matmul([0; 75; 2634]),0,75,2634
5059,0.00002499999936844688,Concat([10; 192; 213; 515]),10,192,213,515
6825,0.06892800331115723,Matmul([0; 3; 18654]),0,3,18654
6825,0.0708480030298233,Matmul([0; 29; 11258]),0,29,11258
6825,0.0708480030298233,Matmul([0; 52; 11260]),0,52,11260
6825,0.0708480030298233,Matmul([0; 75; 11262]),0,75,11262
6825,0.0708480030298233,Matmul([0; 98; 11264]),0,98,11264
6825,0.07011199742555618,Matmul([0; 121; 6824]),0,121,6824
6825,0.07011199742555618,Matmul([0; 144; 6829]),0,144,6829
4445,0.05350400134921074,Matmul([0; 3; 33063]),0,3,33063
4445,0.05407999828457832,Matmul([0; 29; 33067]),0,29,33067
4445,0.05407999828457832,Matmul([0; 52; 33073]),0,52,33073
4445,0.05407999828457832,Matmul([0; 75; 33079]),0,75,33079
4445,0.05407999828457832,Matmul([0; 98; 33083]),0,98,33083
4445,0.05407999828457832,Matmul([0; 121; 33085]),0,121,33085
4445,0.05532800033688545,Matmul([0; 144; 4444]),0,144,4444
30711,0.5625920295715332,Matmul([0; 28; 30715]),0,28,30715
30711,0.5505920052528381,Matmul([0; 443; 30721]),0,443,30721
30711,0.5505920052528381,Matmul([0; 8729; 30727]),0,8729,30727
30711,0.5505920052528381,Matmul([0; 8807; 30731]),0,8807,30731
30711,0.5505920052528381,Matmul([0; 9023; 30733]),0,9023,30733
30711,0.5420160293579102,Matmul([0; 9059; 3984]),0,9059,3984
5536,0,Split([10; 5535]),10,5535
1191,0,Split([10; 1190]),10,1190
6415,0.06892800331115723,Matmul([0; 3; 11098]),0,3,11098
6415,0.0708480030298233,Matmul([0; 29; 11100]),0,29,11100
6415,0.0708480030298233,Matmul([0; 52; 11102]),0,52,11102
6415,0.0708480030298233,Matmul([0; 75; 11104]),0,75,11104
6415,0.07011199742555618,Matmul([0; 98; 6414]),0,98,6414
6415,0.07011199742555618,Matmul([0; 121; 6419]),0,121,6419
39951,0.8015679717063904,Matmul([0; 28; 39955]),0,28,39955
39951,0.7773119807243347,Matmul([0; 443; 39961]),0,443,39961
39951,0.7773119807243347,Matmul([0; 8729; 39967]),0,8729,39967
39951,0.7773119807243347,Matmul([0; 8807; 39971]),0,8807,39971
39951,0.7773119807243347,Matmul([0; 9023; 39973]),0,9023,39973
39951,0.7639679908752441,Matmul([0; 9059; 6949]),0,9059,6949
137,0,Transpose([136; 9; 10]),136,9,10
3411,0,Split([10; 3410]),10,3410
4331,0,Split([10; 4330]),10,4330
3286,0,Split([10; 3285]),10,3285
36789,0.8015679717063904,Matmul([0; 28; 36791]),0,28,36791
36789,0.7773119807243347,Matmul([0; 443; 36793]),0,443,36793
36789,0.7639679908752441,Matmul([0; 8729; 5934]),0,8729,5934
3219,0.5523520112037659,Matmul([0; 97; 3224]),0,97,3224
3219,0.00003199999991920777,Concat([10; 192; 473; 549]),10,192,473,549
27511,0.5625920295715332,Matmul([0; 51; 27515]),0,51,27515
27511,0.5505920052528381,Matmul([0; 453; 27517]),0,453,27517
27511,0.5420160293579102,Matmul([0; 8735; 2809]),0,8735,2809
3829,0.000022000000171829015,Concat([10; 192; 143; 565]),10,192,143,565
785,0.05488000065088272,Matmul([0; 3; 784]),0,3,784
6926,0,Split([10; 6925]),10,6925
40533,0.8015679717063904,Matmul([0; 28; 40537]),0,28,40537
40533,0.7773119807243347,Matmul([0; 443; 40543]),0,443,40543
40533,0.7773119807243347,Matmul([0; 8729; 40549]),0,8729,40549
40533,0.7773119807243347,Matmul([0; 8807; 40553]),0,8807,40553
40533,0.7773119807243347,Matmul([0; 9023; 40555]),0,9023,40555
40533,0.7639679908752441,Matmul([0; 9059; 7059]),0,9059,7059
3296,0,Split([10; 3295]),10,3295
2620,0.05350400134921074,Matmul([0; 3; 10186]),0,3,10186
2620,0.05407999828457832,Matmul([0; 29; 10188]),0,29,10188
2620,0.05532800033688545,Matmul([0; 52; 2619]),0,52,2619
2620,0.05532800033688545,Matmul([0; 75; 2624]),0,75,2624
36923,0.8015679717063904,Matmul([0; 51; 36925]),0,51,36925
36923,0.7639679908752441,Matmul([0; 453; 6059]),0,453,6059
1331,0,Split([10; 1330]),10,1330
6565,0.06892800331115723,Matmul([0; 3; 11170]),0,3,11170
6565,0.0708480030298233,Matmul([0; 29; 11172]),0,29,11172
6565,0.0708480030298233,Matmul([0; 52; 11174]),0,52,11174
6565,0.0708480030298233,Matmul([0; 75; 11176]),0,75,11176
6565,0.07011199742555618,Matmul([0; 98; 6564]),0,98,6564
6565,0.07011199742555618,Matmul([0; 121; 6569]),0,121,6569
6986,0,Split([10; 6985]),10,6985
10632,0.5625920295715332,Matmul([0; 74; 10634]),0,74,10634
10632,0.5505920052528381,Matmul([0; 463; 10636]),0,463,10636
10632,0.5420160293579102,Matmul([0; 8741; 4219]),0,8741,4219
10632,0.5420160293579102,Matmul([0; 8835; 4224]),0,8835,4224
10054,0.5523520112037659,Matmul([0; 28; 1564]),0,28,1564
10054,0.5420160293579102,Matmul([0; 443; 1569]),0,443,1569
30183,0.40112000703811646,Matmul([0; 28; 30187]),0,28,30187
30183,0.3935360014438629,Matmul([0; 443; 30193]),0,443,30193
30183,0.3935360014438629,Matmul([0; 8729; 30199]),0,8729,30199
30183,0.3935360014438629,Matmul([0; 8807; 30203]),0,8807,30203
30183,0.3935360014438629,Matmul([0; 9023; 30205]),0,9023,30205
30183,0.3887999951839447,Matmul([0; 9059; 3889]),0,9059,3889
5444,0.7783359885215759,Matmul([0; 51; 5449]),0,51,5449
5444,0.000029000000722589903,Concat([10; 192; 517; 523]),10,192,517,523
60,0.021344000473618507,Matmul([0; 3; 8791]),0,3,8791
60,0.02120400033891201,Matmul([0; 29; 447]),0,29,447
60,0.021296000108122826,Matmul([0; 52; 59]),0,52,59
60,0,Split0(270),270
60,0,Split0(275),275
60,0,Split0(1666),1666
60,0,Split0(1671),1671
60,0,Split0(1676),1676
60,0,Split0(1681),1681
60,0,Split0(1686),1686
60,0,Split0(1691),1691
60,0,Split0(1696),1696
60,0,Split0(1701),1701
60,0,Split0(1706),1706
60,0,Split0(1711),1711
60,0,Split0(1716),1716
60,0,Split0(1726),1726
60,0,Split0(1736),1736
60,0,Split0(1746),1746
60,0,Split0(1756),1756
60,0,Split0(1766),1766
60,0,Split0(1776),1776
60,0,Split0(1781),1781
60,0,Split0(1786),1786
60,0,Split0(1791),1791
60,0,Split0(1796),1796
60,0,Split0(1801),1801
60,0,Split0(8465),8465
60,0,Split1(255),255
60,0,Split1(931),931
60,0,Split1(1081),1081
60,0,Split1(1226),1226
60,0,Split1(1366),1366
46,0.009056000038981438,Matmul([0; 34; 441]),0,34,441
46,0.00854399986565113,Matmul([0; 40; 45]),0,40,45
2889,0.00002700000004551839,Concat([10; 192; 467; 308]),10,192,467,308
5049,0.00002499999936844688,Concat([10; 192; 213; 511]),10,192,213,511
28717,0.5625920295715332,Matmul([0; 74; 28721]),0,74,28721
28717,0.5505920052528381,Matmul([0; 463; 28723]),0,463,28723
28717,0.5420160293579102,Matmul([0; 8741; 3414]),0,8741,3414
4211,0,Split([10; 4210]),10,4210
4061,0,Split([10; 4060]),10,4060
10226,0.5523520112037659,Matmul([0; 74; 2784]),0,74,2784
10226,0.5420160293579102,Matmul([0; 463; 2789]),0,463,2789
39085,0.8015679717063904,Matmul([0; 51; 39091]),0,51,39091
39085,0.7773119807243347,Matmul([0; 453; 39097]),0,453,39097
39085,0.7773119807243347,Matmul([0; 8735; 39101]),0,8735,39101
39085,0.7773119807243347,Matmul([0; 8821; 39103]),0,8821,39103
39085,0.7639679908752441,Matmul([0; 9062; 6794]),0,9062,6794
37777,0.8015679717063904,Matmul([0; 97; 37779]),0,97,37779
37777,0.7639679908752441,Matmul([0; 473; 6464]),0,473,6464
38465,0.8015679717063904,Matmul([0; 28; 38469]),0,28,38469
38465,0.7773119807243347,Matmul([0; 443; 38475]),0,443,38475
38465,0.7773119807243347,Matmul([0; 8729; 38479]),0,8729,38479
38465,0.7773119807243347,Matmul([0; 8807; 38481]),0,8807,38481
38465,0.7639679908752441,Matmul([0; 9023; 6664]),0,9023,6664
11400,0.7783359885215759,Matmul([0; 143; 7144]),0,143,7144
11400,0.7639679908752441,Matmul([0; 493; 7149]),0,493,7149
4859,0.00003199999991920777,Concat([10; 192; 193; 218]),10,192,193,218
5341,0,Split([10; 5340]),10,5340
32977,0.5625920295715332,Matmul([0; 74; 32983]),0,74,32983
32977,0.5505920052528381,Matmul([0; 463; 32987]),0,463,32987
32977,0.5505920052528381,Matmul([0; 8741; 32989]),0,8741,32989
32977,0.5420160293579102,Matmul([0; 8835; 4424]),0,8835,4424
32219,0.5625920295715332,Matmul([0; 120; 32221]),0,120,32221
32219,0.5420160293579102,Matmul([0; 483; 4279]),0,483,4279
3724,0.00003199999991920777,Concat([10; 192; 143; 487]),10,192,143,487
10448,0.5625920295715332,Matmul([0; 51; 10450]),0,51,10450
10448,0.5505920052528381,Matmul([0; 453; 10452]),0,453,10452
10448,0.5420160293579102,Matmul([0; 8735; 3639]),0,8735,3639
10448,0.5420160293579102,Matmul([0; 8821; 3644]),0,8821,3644
3044,0.00003199999991920777,Concat([10; 192; 111; 313]),10,192,111,313
8791,0.23977600038051605,Matmul([0; 28; 447]),0,28,447
8791,0.22566400468349457,Matmul([0; 443; 59]),0,443,59
14,0.021407999098300934,Matmul([0; 3; 13]),0,3,13
14,0,Split0(210),210
14,0,Split0(215),215
14,0,Split0(671),671
14,0,Split0(676),676
14,0,Split0(681),681
14,0,Split0(686),686
14,0,Split0(691),691
14,0,Split0(696),696
14,0,Split0(701),701
14,0,Split0(706),706
14,0,Split0(711),711
14,0,Split0(716),716
14,0,Split0(721),721
14,0,Split0(726),726
14,0,Split0(731),731
14,0,Split0(736),736
14,0,Split0(741),741
14,0,Split0(746),746
14,0,Split1(195),195
28723,0.5523520112037659,Matmul([0; 120; 3414]),0,120,3414
10340,0.5523520112037659,Matmul([0; 74; 3229]),0,74,3229
10340,0.5420160293579102,Matmul([0; 463; 3234]),0,463,3234
6040,0.06892800331115723,Matmul([0; 3; 36897]),0,3,36897
6040,0.0708480030298233,Matmul([0; 29; 36899]),0,29,36899
6040,0.0708480030298233,Matmul([0; 52; 36901]),0,52,36901
6040,0.07011199742555618,Matmul([0; 75; 6039]),0,75,6039
10660,0.5523520112037659,Matmul([0; 120; 4249]),0,120,4249
10660,0.5420160293579102,Matmul([0; 483; 4254]),0,483,4254
26981,0.40112000703811646,Matmul([0; 51; 26983]),0,51,26983
26981,0.3887999951839447,Matmul([0; 453; 2264]),0,453,2264
18514,0.8015679717063904,Matmul([0; 28; 11218]),0,28,11218
18514,0.7773119807243347,Matmul([0; 443; 11220]),0,443,11220
18514,0.7773119807243347,Matmul([0; 8729; 11222]),0,8729,11222
18514,0.7773119807243347,Matmul([0; 8807; 11224]),0,8807,11224
18514,0.7639679908752441,Matmul([0; 9023; 6744]),0,9023,6744
18514,0.7639679908752441,Matmul([0; 9059; 6749]),0,9059,6749
38007,0.8015679717063904,Matmul([0; 28; 38011]),0,28,38011
38007,0.7773119807243347,Matmul([0; 443; 38017]),0,443,38017
38007,0.7773119807243347,Matmul([0; 8729; 38021]),0,8729,38021
38007,0.7773119807243347,Matmul([0; 8807; 38023]),0,8807,38023
38007,0.7639679908752441,Matmul([0; 9023; 6534]),0,9023,6534
2861,0,Split([10; 2860]),10,2860
10530,0.5625920295715332,Matmul([0; 74; 10532]),0,74,10532
10530,0.5420160293579102,Matmul([0; 463; 3819]),0,463,3819
10530,0.5420160293579102,Matmul([0; 8741; 3824]),0,8741,3824
1890,0.05350400134921074,Matmul([0; 3; 10084]),0,3,10084
1890,0.05532800033688545,Matmul([0; 29; 1889]),0,29,1889
1890,0.05532800033688545,Matmul([0; 52; 1894]),0,52,1894
28101,0.5625920295715332,Matmul([0; 28; 28103]),0,28,28103
28101,0.5505920052528381,Matmul([0; 443; 28105]),0,443,28105
28101,0.5420160293579102,Matmul([0; 8729; 3154]),0,8729,3154
4315,0.035840000957250595,Matmul([0; 3; 32367]),0,3,32367
4315,0.03641600161790848,Matmul([0; 29; 32371]),0,29,32371
4315,0.03641600161790848,Matmul([0; 52; 32377]),0,52,32377
4315,0.03641600161790848,Matmul([0; 75; 32383]),0,75,32383
4315,0.03641600161790848,Matmul([0; 98; 32387]),0,98,32387
4315,0.03641600161790848,Matmul([0; 121; 32389]),0,121,32389
4315,0.0360959991812706,Matmul([0; 144; 4314]),0,144,4314
4661,0,Split([10; 4660]),10,4660
29725,0.3963199853897095,Matmul([0; 120; 3734]),0,120,3734
816,0,Split([10; 815]),10,815
43,0.021344000473618507,Matmul([0; 3; 439]),0,3,439
43,0.021296000108122826,Matmul([0; 29; 42]),0,29,42
43,0,Split0(250),250
43,0,Split0(1221),1221
43,0,Split0(1226),1226
43,0,Split0(1231),1231
43,0,Split0(1236),1236
43,0,Split0(1241),1241
43,0,Split0(1246),1246
43,0,Split0(1251),1251
43,0,Split0(1256),1256
43,0,Split0(1261),1261
43,0,Split0(1266),1266
43,0,Split0(1271),1271
43,0,Split0(1281),1281
43,0,Split0(1291),1291
43,0,Split0(1301),1301
43,0,Split0(1311),1311
43,0,Split0(1321),1321
43,0,Split0(1331),1331
43,0,Split0(1336),1336
43,0,Split0(1341),1341
43,0,Split0(1346),1346
43,0,Split0(1351),1351
43,0,Split0(1356),1356
43,0,Split0(8452),8452
43,0,Split1(230),230
43,0,Split1(240),240
43,0,Split1(601),601
43,0,Split1(681),681
43,0,Split1(761),761
43,0,Split1(841),841
31003,0.5523520112037659,Matmul([0; 120; 4054]),0,120,4054
2424,0.00002700000004551839,Concat([10; 192; 459; 258]),10,192,459,258
32,0.021344000473618507,Matmul([0; 3; 435]),0,3,435
32,0.021296000108122826,Matmul([0; 29; 31]),0,29,31
32,0,Split0(225),225
32,0,Split0(230),230
32,0,Split0(235),235
32,0,Split0(926),926
32,0,Split0(931),931
32,0,Split0(936),936
32,0,Split0(941),941
32,0,Split0(946),946
32,0,Split0(951),951
32,0,Split0(956),956
32,0,Split0(961),961
32,0,Split0(966),966
32,0,Split0(971),971
32,0,Split0(976),976
32,0,Split0(986),986
32,0,Split0(996),996
32,0,Split0(1006),1006
32,0,Split0(1016),1016
32,0,Split0(1026),1026
32,0,Split0(1036),1036
32,0,Split0(1041),1041
32,0,Split0(1046),1046
32,0,Split0(1051),1051
32,0,Split0(1056),1056
32,0,Split0(1061),1061
32,0,Split0(8444),8444
32,0,Split1(591),591
32,0,Split1(671),671
32,0,Split1(751),751
32,0,Split1(831),831
9646,0.23977600038051605,Matmul([0; 74; 9648]),0,74,9648
9646,0.23161600530147552,Matmul([0; 463; 8859]),0,463,8859
9646,0.23161600530147552,Matmul([0; 8741; 8861]),0,8741,8861
9646,0.23161600530147552,Matmul([0; 8835; 499]),0,8835,499
9646,0.22566400468349457,Matmul([0; 9113; 180]),0,9113,180
8499,0,Split([0; 8498]),0,8498
5625,0.06892800331115723,Matmul([0; 3; 36559]),0,3,36559
5625,0.0708480030298233,Matmul([0; 29; 36561]),0,29,36561
5625,0.07011199742555618,Matmul([0; 52; 5624]),0,52,5624
26937,0.5625920295715332,Matmul([0; 28; 26939]),0,28,26939
26937,0.5505920052528381,Matmul([0; 443; 26941]),0,443,26941
26937,0.5420160293579102,Matmul([0; 8729; 2219]),0,8729,2219
2179,0.00003199999991920777,Concat([10; 192; 77; 293]),10,192,77,293
7268,0,Split([10; 1134]),10,1134
11214,0.8015679717063904,Matmul([0; 74; 11216]),0,74,11216
11214,0.7639679908752441,Matmul([0; 463; 6674]),0,463,6674
11214,0.7639679908752441,Matmul([0; 8741; 6679]),0,8741,6679
6644,0.00002499999936844688,Concat([10; 192; 358; 565]),10,192,358,565
37201,0.8015679717063904,Matmul([0; 51; 37205]),0,51,37205
37201,0.7773119807243347,Matmul([0; 453; 37207]),0,453,37207
37201,0.7639679908752441,Matmul([0; 8735; 6224]),0,8735,6224
5164,0.00002499999936844688,Concat([10; 192; 223; 525]),10,192,223,525
9758,0.40112000703811646,Matmul([0; 51; 8931]),0,51,8931
9758,0.3935360014438629,Matmul([0; 453; 8933]),0,453,8933
9758,0.3935360014438629,Matmul([0; 8735; 555]),0,8735,555
9758,0.3887999951839447,Matmul([0; 8821; 348]),0,8821,348
5254,0.7783359885215759,Matmul([0; 28; 5259]),0,28,5259
5254,0.000029000000722589903,Concat([10; 192; 509; 513]),10,192,509,513
323,0.000045000000682193786,Concat([10; 192; 100; 120]),10,192,100,120
4991,0,Split([10; 4990]),10,4990
39877,0.7783359885215759,Matmul([0; 143; 6929]),0,143,6929
40465,0.8015679717063904,Matmul([0; 51; 40471]),0,51,40471
40465,0.7773119807243347,Matmul([0; 453; 40477]),0,453,40477
40465,0.7773119807243347,Matmul([0; 8735; 40481]),0,8735,40481
40465,0.7773119807243347,Matmul([0; 8821; 40483]),0,8821,40483
40465,0.7639679908752441,Matmul([0; 9062; 7044]),0,9062,7044
1744,0.5523520112037659,Matmul([0; 51; 1749]),0,51,1749
1744,0.00003199999991920777,Concat([10; 192; 447; 523]),10,192,447,523
33949,0.5625920295715332,Matmul([0; 74; 33955]),0,74,33955
33949,0.5505920052528381,Matmul([0; 463; 33959]),0,463,33959
33949,0.5505920052528381,Matmul([0; 8741; 33961]),0,8741,33961
33949,0.5420160293579102,Matmul([0; 8835; 4569]),0,8835,4569
5799,0.00003199999991920777,Concat([10; 192; 283; 308]),10,192,283,308
2345,0.05350400134921074,Matmul([0; 3; 10142]),0,3,10142
2345,0.05407999828457832,Matmul([0; 29; 10144]),0,29,10144
2345,0.05532800033688545,Matmul([0; 52; 2344]),0,52,2344
2345,0.05532800033688545,Matmul([0; 75; 2349]),0,75,2349
6335,0.06892800331115723,Matmul([0; 3; 37411]),0,3,37411
6335,0.0708480030298233,Matmul([0; 29; 37415]),0,29,37415
6335,0.0708480030298233,Matmul([0; 52; 37419]),0,52,37419
6335,0.0708480030298233,Matmul([0; 75; 37421]),0,75,37421
6335,0.07011199742555618,Matmul([0; 98; 6334]),0,98,6334
27057,0.5625920295715332,Matmul([0; 28; 27059]),0,28,27059
27057,0.5505920052528381,Matmul([0; 443; 27061]),0,443,27061
27057,0.5420160293579102,Matmul([0; 8729; 2369]),0,8729,2369
4186,0,Split([10; 4185]),10,4185
45,0,Transpose([44; 9; 10]),44,9,10
10106,0.5625920295715332,Matmul([0; 28; 10108]),0,28,10108
10106,0.5420160293579102,Matmul([0; 443; 2164]),0,443,2164
10106,0.5420160293579102,Matmul([0; 8729; 2169]),0,8729,2169
215,0,Split([10; 214]),10,214
1769,0.00003199999991920777,Concat([10; 192; 59; 278]),10,192,59,278
7747,0,Split([10; 3629]),10,3629
4984,0.00002499999936844688,Concat([10; 192; 203; 515]),10,192,203,515
5,0,Weight([4]),4
5300,0.06892800331115723,Matmul([0; 3; 36433]),0,3,36433
5300,0.07011199742555618,Matmul([0; 29; 5299]),0,29,5299
5376,0,Split([10; 5375]),10,5375
10506,0.5625920295715332,Matmul([0; 74; 10508]),0,74,10508
10506,0.5420160293579102,Matmul([0; 463; 3789]),0,463,3789
10506,0.5420160293579102,Matmul([0; 8741; 3794]),0,8741,3794
27337,0.3963199853897095,Matmul([0; 97; 2694]),0,97,2694
31483,0.5625920295715332,Matmul([0; 51; 31489]),0,51,31489
31483,0.5505920052528381,Matmul([0; 453; 31495]),0,453,31495
31483,0.5505920052528381,Matmul([0; 8735; 31499]),0,8735,31499
31483,0.5505920052528381,Matmul([0; 8821; 31501]),0,8821,31501
31483,0.5420160293579102,Matmul([0; 9062; 4139]),0,9062,4139
8799,0.23977600038051605,Matmul([0; 28; 8801]),0,28,8801
8799,0.23161600530147552,Matmul([0; 443; 457]),0,443,457
8799,0.22566400468349457,Matmul([0; 8729; 82]),0,8729,82
6626,0,Split([10; 6625]),10,6625
2879,0.00002700000004551839,Concat([10; 192; 467; 298]),10,192,467,298
1091,0,Split([10; 1090]),10,1090
2144,0.00002700000004551839,Concat([10; 192; 455; 273]),10,192,455,273
2474,0.00003199999991920777,Concat([10; 192; 88; 293]),10,192,88,293
7299,0,Split([10; 1289]),10,1289
26573,0.3963199853897095,Matmul([0; 28; 1364]),0,28,1364
3124,0.000022000000171829015,Concat([10; 192; 111; 563]),10,192,111,563
30745,0.5625920295715332,Matmul([0; 74; 30751]),0,74,30751
30745,0.5505920052528381,Matmul([0; 463; 30755]),0,463,30755
30745,0.5505920052528381,Matmul([0; 8741; 30757]),0,8741,30757
30745,0.5420160293579102,Matmul([0; 8835; 3989]),0,8835,3989
1634,0.000022000000171829015,Concat([10; 192; 54; 533]),10,192,54,533
645,0.05488000065088272,Matmul([0; 3; 644]),0,3,644
6704,0.00002499999936844688,Concat([10; 192; 363; 573]),10,192,363,573
244,0.035840000957250595,Matmul([0; 3; 513]),0,3,513
244,0.0360959991812706,Matmul([0; 29; 243]),0,29,243
244,0,Split0(5356),5356
244,0,Split0(5366),5366
244,0,Split0(5371),5371
244,0,Split0(5376),5376
244,0,Split0(5381),5381
244,0,Split0(5386),5386
244,0,Split0(5391),5391
244,0,Split0(8578),8578
244,0,Split1(661),661
244,0,Split1(741),741
244,0,Split1(821),821
244,0,Split1(901),901
244,0,Split1(1016),1016
244,0,Split1(1166),1166
244,0,Split1(1311),1311
244,0,Split1(1451),1451
244,0,Split1(1556),1556
244,0,Split1(1706),1706
244,0,Split1(1851),1851
244,0,Split1(1991),1991
244,0,Split1(4886),4886
244,0,Split1(4936),4936
244,0,Split1(4981),4981
244,0,Split1(5021),5021
244,0,Split1(5056),5056
244,0,Split1(5086),5086
244,0,Split1(5126),5126
244,0,Split1(5196),5196
244,0,Split1(5256),5256
244,0,Split1(5306),5306
8527,0.000019999999494757503,Concat([0; 192; 144; 143]),0,192,144,143
2945,0.05350400134921074,Matmul([0; 3; 10264]),0,3,10264
2945,0.05407999828457832,Matmul([0; 29; 10266]),0,29,10266
2945,0.05407999828457832,Matmul([0; 52; 10268]),0,52,10268
2945,0.05532800033688545,Matmul([0; 75; 2944]),0,75,2944
2945,0.05532800033688545,Matmul([0; 98; 2949]),0,98,2949
2064,0.000022000000171829015,Concat([10; 192; 74; 531]),10,192,74,531
195,0,Split([10; 194]),10,194
7702,0,Split([10; 3364]),10,3364
854,0.00003199999991920777,Concat([10; 192; 28; 198]),10,192,28,198
183,0,Transpose([182; 9; 10]),182,9,10
